,potential,iteration,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,temperatures
0,0.0,2284,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
1,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
2,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
3,0.0,379,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
4,0.0,2397,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
5,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
6,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
7,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
8,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
9,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
10,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
11,0.46875,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
12,0.0,120,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
13,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
14,0.0,4898,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
15,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
16,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
17,0.46875,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
18,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
19,0.0,1528,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
20,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
21,0.0,1831,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
22,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
23,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
24,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
25,0.0,1755,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
26,0.0,832,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
27,0.4375,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
28,0.0,2991,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
29,0.5,5000,5000,1,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
30,0.46875,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
31,0.0,965,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
32,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
33,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
34,0.4375,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
35,0.0,1362,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
36,0.0,242,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
37,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
38,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
39,0.0,3201,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
40,0.0,4223,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
41,0.0,3772,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
42,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
43,0.4375,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
44,0.0,4018,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
45,0.46875,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
46,0.0,553,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
47,0.4375,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
48,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
49,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
50,0.0,4787,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
51,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
52,0.0,2873,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
53,0.0,4279,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
54,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
55,0.0,2078,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
56,0.46875,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
57,0.0,2867,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
58,0.5,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
59,0.46875,4998,5000,6,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
60,0.0,3417,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
61,0.0,3270,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
62,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
63,0.0,3112,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
64,0.0,2291,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
65,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
66,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
67,0.0,2317,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
68,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
69,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
70,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
71,0.0,713,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
72,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
73,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
74,0.0,1209,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
75,0.0,4335,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
76,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
77,0.4375,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
78,0.46875,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
79,0.0,189,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
80,0.375,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
81,0.46875,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
82,0.0,4314,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
83,0.0,3503,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
84,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
85,0.0,246,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
86,0.0,3241,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
87,0.0,2428,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
88,0.0,2178,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
89,0.5,4994,5000,11,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
90,0.0,2676,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
91,0.0,336,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
92,0.5,4992,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
93,0.375,4992,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
94,0.375,4992,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
95,0.0,715,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
96,0.0,3758,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
97,0.0,3726,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
98,0.4375,4992,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
99,0.46875,4992,5000,16,['const'],15,5,0.06,7,"['gaussian', 1]","[0.1, 1.1, 2.1, 3.1, 4.1000000000000005, 5.1000000000000005, 6.1000000000000005]"
