,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
0,0.0,403,0.08,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
1,0.0,262,0.048,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
2,0.0,3227,0.64,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
3,0.0,461,0.088,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
4,0.0,275,0.048,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
5,0.0,2319,0.456,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
6,0.0,595,0.112,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
7,0.0,162,0.032,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
8,0.0,436,0.08,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
9,0.0,131,0.024,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
10,0.0,306,0.056,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
11,0.0,139,0.024,5000,40,['const'],15,5,0.06,99,"['gaussian', 1]","[0.01, 1.5405102040816328, 3.0710204081632653, 4.601530612244898, 6.132040816326531, 7.662551020408164, 9.193061224489796, 10.723571428571429, 12.254081632653062, 13.784591836734695, 15.315102040816328, 16.84561224489796, 18.376122448979594, 19.906632653061227, 21.43714285714286, 22.967653061224492, 24.498163265306125, 26.02867346938776, 27.55918367346939, 29.089693877551024, 30.620204081632657, 32.15071428571429, 33.681224489795916, 35.21173469387755, 36.74224489795918, 38.27275510204082, 39.80326530612245, 41.333775510204084, 42.864285714285714, 44.39479591836735, 45.92530612244898, 47.455816326530616, 48.986326530612246, 50.516836734693875, 52.04734693877551, 53.57785714285714, 55.10836734693878, 56.63887755102041, 58.16938775510204, 59.69989795918367, 61.23040816326531, 62.76091836734694, 64.29142857142858, 65.82193877551022, 67.35244897959184, 68.88295918367348, 70.41346938775511, 71.94397959183675, 73.47448979591837, 75.00500000000001, 76.53551020408165, 78.06602040816327, 79.5965306122449, 81.12704081632654, 82.65755102040818, 84.1880612244898, 85.71857142857144, 87.24908163265307, 88.77959183673471, 90.31010204081633, 91.84061224489797, 93.3711224489796, 94.90163265306124, 96.43214285714286, 97.9626530612245, 99.49316326530614, 101.02367346938776, 102.5541836734694, 104.08469387755103, 105.61520408163267, 107.14571428571429, 108.67622448979593, 110.20673469387756, 111.7372448979592, 113.26775510204082, 114.79826530612246, 116.3287755102041, 117.85928571428573, 119.38979591836735, 120.92030612244899, 122.45081632653063, 123.98132653061225, 125.51183673469389, 127.04234693877552, 128.57285714285715, 130.10336734693877, 131.63387755102042, 133.16438775510204, 134.69489795918366, 136.2254081632653, 137.75591836734694, 139.28642857142856, 140.8169387755102, 142.34744897959183, 143.87795918367348, 145.4084693877551, 146.93897959183673, 148.46948979591838, 150.0]"
